_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,age,emotion,emotion:confidence,gender,gender:confidence,multiple_faces,multiple_faces:confidence,race,race:confidence,age_gold,emotion_gold,gender_gold,image_url,multiple_faces_gold,race_gold
2617265140,FALSE,finalized,3,1/29/2020 16:34:00,"30
25
22",happy,1.0,female,1.0,no,1.0,asian,0.6667,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/cffc6e2d-cea8-484b-a44c-16b9402ed896.jpg,,
2617265141,FALSE,finalized,3,1/29/2020 16:32:38,"25
25
28",happy,1.0,male,1.0,no,1.0,white,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/34202cee-1a17-413d-acfc-73f2eeb15130.jpg,,
2617265142,FALSE,finalized,3,1/29/2020 16:33:19,"28
30
30",neutral,1.0,male,0.6667,no,1.0,white,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/f3070346-8e85-41e8-aa77-d9dd9b4ced40.jpg,,
2617265143,FALSE,finalized,3,1/29/2020 16:34:36,"28
30
25",neutral,0.6667,male,1.0,no,1.0,asian,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/f9d35343-fb95-4c64-9abf-026cd142f318.jpg,,
2617265144,FALSE,finalized,3,1/29/2020 16:34:09,"32
28
31",neutral,1.0,male,0.6667,no,1.0,white,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/e260b413-5234-4c07-8293-78029f00421e.jpg,,
2617265145,FALSE,finalized,3,1/29/2020 16:34:36,"25
25
20",happy,1.0,female,1.0,no,1.0,asian,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/40b01908-d4a2-42e7-ae78-6d3f58f43e38.jpg,,
2617265146,FALSE,finalized,3,1/29/2020 16:33:47,"21
23
33",happy,0.6906,male,1.0,no,1.0,asian,0.675,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/900a3d3b-f66f-4d2b-b300-40358897d57b.jpg,,
2617265147,FALSE,finalized,3,1/29/2020 16:33:20,"25
20
25",neutral,1.0,male,1.0,no,1.0,asian,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/d946b61b-4938-44ed-a7f5-117bc655638b.jpg,,
2617265148,FALSE,finalized,3,1/29/2020 16:30:48,,,,,,yes,1.0,,,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/5c0acb8f-8c73-4569-8340-708d58dff71a.jpg,,
2617265149,FALSE,finalized,3,1/29/2020 16:30:50,,,,,,yes,1.0,,,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/63fba019-6511-4793-abe6-a199a763ff8a.jpg,,
2617265150,FALSE,finalized,3,1/29/2020 16:32:58,,,,,,yes,1.0,,,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/06ce73a8-7efd-4f42-bcf6-184c7618b54b.jpg,,
2617265151,FALSE,finalized,3,1/29/2020 16:34:21,"15
22
20",neutral,1.0,female,1.0,no,1.0,asian,1.0,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/f8cd593f-82f1-4df8-a9eb-4a4b685dacce.jpg,,
2617265152,FALSE,finalized,3,1/29/2020 16:32:29,,,,,,yes,1.0,,,,,,https://airbnb-sample.s3.eu-west-2.amazonaws.com/2f9eac28-c1d6-4a4c-9f8a-b6f9f510eb56.jpg,,
